DP;DPNOM;DPMP;MPIO;year;total
15;Boyacá;15368;Jericó;2015;4010 
15;Boyacá;15377;Labranzagrande;2015;5099 
15;Boyacá;15380;La Capilla;2015;2550 
15;Boyacá;15401;La Victoria;2015;1674 
15;Boyacá;15403;La Uvita;2015;2523 
15;Boyacá;15407;Villa de Leyva;2015;16478 
15;Boyacá;15425;Macanal;2015;4821 
15;Boyacá;15442;Maripí;2015;7480 
15;Boyacá;15455;Miraflores;2015;9777 
15;Boyacá;15464;Mongua;2015;4717 
15;Boyacá;15466;Monguí;2015;4986 
15;Boyacá;15469;Moniquirá;2015;21402 
15;Boyacá;15476;Motavita;2015;8067 
15;Boyacá;15480;Muzo;2015;9040 
15;Boyacá;15491;Nobsa;2015;16271 
15;Boyacá;15494;Nuevo Colón;2015;6559 
15;Boyacá;15500;Oicatá;2015;2834 
15;Boyacá;15507;Otanche;2015;10660 
15;Boyacá;15511;Pachavita;2015;2508 
15;Boyacá;15514;Páez;2015;2913 
15;Boyacá;15516;Paipa;2015;30740 
15;Boyacá;15518;Pajarito;2015;1719 
15;Boyacá;15522;Panqueba;2015;1487 
15;Boyacá;15531;Pauna;2015;10778 
15;Boyacá;15533;Paya;2015;2550 
15;Boyacá;15537;Paz de Río;2015;4680 
15;Boyacá;15542;Pesca;2015;8032 
15;Boyacá;15550;Pisba;2015;1344 
15;Boyacá;15572;Puerto Boyacá;2015;55286 
15;Boyacá;15580;Quípama;2015;7874 
15;Boyacá;15599;Ramiriquí;2015;10015 
15;Boyacá;15600;Ráquira;2015;13588 
15;Boyacá;15621;Rondón;2015;2822 
15;Boyacá;15632;Saboyá;2015;12372 
15;Boyacá;15638;Sáchica;2015;3791 
15;Boyacá;15646;Samacá;2015;19907 
15;Boyacá;15660;San Eduardo;2015;1862 
15;Boyacá;15664;San José de Pare;2015;5221 
15;Boyacá;15667;San Luis de Gaceno;2015;5120 
15;Boyacá;15673;San Mateo;2015;3682 
15;Boyacá;15676;San Miguel de Sema;2015;4556 
15;Boyacá;15681;San Pablo de Borbur;2015;10524 
15;Boyacá;15686;Santana;2015;7692 
15;Boyacá;15690;Santa María;2015;3980 
15;Boyacá;15693;Santa Rosa de Viterbo;2015;13403 
15;Boyacá;15696;Santa Sofía;2015;2704 
15;Boyacá;15720;Sativanorte;2015;2339 
15;Boyacá;15723;Sativasur;2015;1110 
15;Boyacá;15740;Siachoque;2015;8964 
15;Boyacá;15753;Soatá;2015;7255 
15;Boyacá;15755;Socotá;2015;8128 
15;Boyacá;15757;Socha;2015;7140 
15;Boyacá;15759;Sogamoso;2015;113295 
15;Boyacá;15761;Somondoco;2015;3632 
15;Boyacá;15762;Sora;2015;3025 
15;Boyacá;15763;Sotaquirá;2015;7709 
15;Boyacá;15764;Soracá;2015;5353 
15;Boyacá;15774;Susacón;2015;3095 
15;Boyacá;15776;Sutamarchán;2015;5916 
15;Boyacá;15778;Sutatenza;2015;4086 
15;Boyacá;15790;Tasco;2015;6361 
15;Boyacá;15798;Tenza;2015;4112 
15;Boyacá;15804;Tibaná;2015;9186 
15;Boyacá;15806;Tibasosa;2015;14063 
