year; id_dpto ;nom_dpto;id_munic;nom_munic;Categoria;p_total;p_cabecera;p_resto
2005;13;Bolívar;13268;El Peñón;;7,807;2,712;5,095
2005;13;Bolívar;13300;Hatillo de Loba;;11,470;2,736;8,734
2005;13;Bolívar;13430;Magangué;;121,515;79,645;41,870
2005;13;Bolívar;13433;Mahates;;22,929;8,627;14,302
2005;13;Bolívar;13440;Margarita;;9,406;1,645;7,761
2005;13;Bolívar;13442;María La Baja;;45,395;17,851;27,544
2005;13;Bolívar;13458;Montecristo;;16,973;7,080;9,893
2005;13;Bolívar;13468;Mompós;;41,565;22,591;18,974
2005;13;Bolívar;13473;Morales;;18,523;4,903;13,620
2005;13;Bolívar;13549;Pinillos;;22,801;2,408;20,393
2005;13;Bolívar;13580;Regidor;;8,796;2,965;5,831
2005;13;Bolívar;13600;Río Viejo;;21,060;6,255;14,805
2005;13;Bolívar;13620;San Cristóbal;;6,561;4,826;1,735
2005;13;Bolívar;13647;San Estanislao;;15,312;10,931;4,381
2005;13;Bolívar;13650;San Fernando;;12,965;2,740;10,225
2005;13;Bolívar;13654;San Jacinto;;21,593;19,317;2,276
2005;13;Bolívar;13655;San Jacinto del Cauca;;10,935;2,593;8,342
2005;13;Bolívar;13657;San Juan Nepomuceno;;32,514;23,727;8,787
2005;13;Bolívar;13667;San Martín de Loba;;14,248;5,881;8,367
2005;13;Bolívar;13670;San Pablo;;27,010;20,952;6,058
2005;13;Bolívar;13673;Santa Catalina;;12,058;4,314;7,744
2005;13;Bolívar;13683;Santa Rosa;;18,195;12,489;5,706
2005;13;Bolívar;13688;Santa Rosa del Sur;;34,015;13,992;20,023
2005;13;Bolívar;13744;Simití;;18,418;6,684;11,734
2005;13;Bolívar;13760;Soplaviento;;8,281;7,960;321
2005;13;Bolívar;13780;Talaigua Nuevo;;11,086;4,867;6,219
2005;13;Bolívar;13810;Tiquisio;;18,786;4,426;14,360
2005;13;Bolívar;13836;Turbaco;;63,046;57,714;5,332
2005;13;Bolívar;13838;Turbaná;;13,493;11,935;1,558
2005;13;Bolívar;13873;Villanueva;;17,576;15,588;1,988
2005;13;Bolívar;13894;Zambrano;;11,110;9,824;1,286
2005;15;Boyacá;15001;Tunja;;154,096;146,621;7,475
2005;15;Boyacá;15022;Almeida;;2,294;309;1,985
2005;15;Boyacá;15047;Aquitania;;16,592;5,830;10,762
2005;15;Boyacá;15051;Arcabuco;;5,198;1,796;3,402
2005;15;Boyacá;15087;Belén;;9,041;4,188;4,853
2005;15;Boyacá;15090;Berbeo;;1,913;412;1,501
2005;15;Boyacá;15092;Betéitiva;;2,479;395;2,084
2005;15;Boyacá;15097;Boavita;;8,796;2,861;5,935
2005;15;Boyacá;15104;Boyacá;;5,074;433;4,641
2005;15;Boyacá;15106;Briceño;;2,748;554;2,194
2005;15;Boyacá;15109;Buenavista;;5,889;732;5,157
2005;15;Boyacá;15114;Busbanzá;;885;301;584
2005;15;Boyacá;15131;Caldas;;4,050;245;3,805
2005;15;Boyacá;15135;Campohermoso;;4,065;853;3,212
2005;15;Boyacá;15162;Cerinza;;4,312;1,502;2,810
2005;15;Boyacá;15172;Chinavita;;3,741;1,184;2,557
2005;15;Boyacá;15176;Chiquinquirá;;55,786;47,498;8,288
2005;15;Boyacá;15180;Chiscas;;5,372;1,035;4,337
2005;15;Boyacá;15183;Chita;;10,844;1,931;8,913
2005;15;Boyacá;15185;Chitaraque;;6,711;1,067;5,644
2005;15;Boyacá;15187;Chivatá;;5,049;1,675;3,374
2005;15;Boyacá;15189;Ciénega;;5,242;1,254;3,988
2005;15;Boyacá;15204;Cómbita;;12,981;834;12,147
2005;15;Boyacá;15212;Coper;;4,201;711;3,490
2005;15;Boyacá;15215;Corrales;;2,544;1,573;971
2005;15;Boyacá;15218;Covarachía;;3,324;496;2,828
2005;15;Boyacá;15223;Cubará;;6,614;1,738;4,876
2005;15;Boyacá;15224;Cucaita;;4,568;1,596;2,972
2005;15;Boyacá;15226;Cuítiva;;2,011;207;1,804
2005;15;Boyacá;15232;Chíquiza;;6,073;103;5,970
2005;15;Boyacá;15236;Chivor;;2,232;518;1,714
2005;15;Boyacá;15238;Duitama;;107,406;93,003;14,403
2005;15;Boyacá;15244;El Cocuy;;5,582;2,680;2,902
2005;15;Boyacá;15248;El Espino;;3,997;1,230;2,767
2005;15;Boyacá;15272;Firavitoba;;6,316;2,087;4,229
2005;15;Boyacá;15276;Floresta;;4,884;1,534;3,350
2005;15;Boyacá;15293;Gachantivá;;3,085;390;2,695
2005;15;Boyacá;15296;Gameza;;5,669;1,564;4,105
2005;15;Boyacá;15299;Garagoa;;16,520;12,301;4,219
2005;15;Boyacá;15317;Guacamayas;;2,132;586;1,546
2005;15;Boyacá;15322;Guateque;;10,171;7,135;3,036
2005;15;Boyacá;15325;Guayatá;;6,368;1,344;5,024
2005;15;Boyacá;15332;Güicán;;7,869;1,667;6,202
2005;15;Boyacá;15362;Iza;;2,116;901;1,215
2005;15;Boyacá;15367;Jenesano;;7,436;1,607;5,829
2005;15;Boyacá;15368;Jericó;;4,716;617;4,099
2005;15;Boyacá;15377;Labranzagrande;;5,345;1,050;4,295
2005;15;Boyacá;15380;La Capilla;;3,178;1,030;2,148
2005;15;Boyacá;15401;La Victoria;;1,674;704;970
2005;15;Boyacá;15403;La Uvita;;3,621;1,199;2,422
2005;15;Boyacá;15407;Villa de Leyva;;12,032;6,819;5,213
2005;15;Boyacá;15425;Macanal;;4,705;941;3,764
2005;15;Boyacá;15442;Maripí;;7,914;904;7,010
2005;15;Boyacá;15455;Miraflores;;9,661;4,694;4,967
2005;15;Boyacá;15464;Mongua;;5,264;1,802;3,462
2005;15;Boyacá;15466;Monguí;;5,002;2,681;2,321
2005;15;Boyacá;15469;Moniquirá;;21,852;10,006;11,846
2005;15;Boyacá;15476;Motavita;;6,772;624;6,148
2005;15;Boyacá;15480;Muzo;;10,237;5,545;4,692
2005;15;Boyacá;15491;Nobsa;;15,194;5,224;9,970
2005;15;Boyacá;15494;Nuevo Colón;;6,075;1,045;5,030
2005;15;Boyacá;15500;Oicatá;;2,822;287;2,535
2005;15;Boyacá;15507;Otanche;;10,463;3,918;6,545
2005;15;Boyacá;15511;Pachavita;;3,102;469;2,633
2005;15;Boyacá;15514;Páez;;3,369;1,164;2,205
2005;15;Boyacá;15516;Paipa;;27,766;15,428;12,338
2005;15;Boyacá;15518;Pajarito;;2,410;890;1,520
2005;15;Boyacá;15522;Panqueba;;1,859;645;1,214
2005;15;Boyacá;15531;Pauna;;10,338;2,573;7,765
2005;15;Boyacá;15533;Paya;;2,648;493;2,155
2005;15;Boyacá;15537;Paz de Río;;5,258;3,103;2,155
2005;15;Boyacá;15542;Pesca;;9,762;2,377;7,385
2005;15;Boyacá;15550;Pisba;;1,533;343;1,190
2005;15;Boyacá;15572;Puerto Boyacá;;50,301;33,806;16,495
2005;15;Boyacá;15580;Quípama;;8,793;1,675;7,118
2005;15;Boyacá;15599;Ramiriquí;;10,789;4,702;6,087
2005;15;Boyacá;15600;Ráquira;;12,522;2,482;10,040
2005;15;Boyacá;15621;Rondón;;3,011;508;2,503
2005;15;Boyacá;15632;Saboyá;;12,957;764;12,193
2005;15;Boyacá;15638;Sáchica;;3,868;1,664;2,204
2005;15;Boyacá;15646;Samacá;;17,614;4,862;12,752
2005;15;Boyacá;15660;San Eduardo;;1,924;723;1,201
2005;15;Boyacá;15664;San José de Pare;;5,719;969;4,750
2005;15;Boyacá;15667;San Luis de Gaceno;;6,383;2,106;4,277
2005;15;Boyacá;15673;San Mateo;;4,790;1,471;3,319
2005;15;Boyacá;15676;San Miguel de Sema;;4,612;479;4,133
2005;15;Boyacá;15681;San Pablo de Borbur;;10,924;1,263;9,661
2005;15;Boyacá;15686;Santana;;7,853;2,211;5,642
2005;15;Boyacá;15690;Santa María;;4,635;2,518;2,117
2005;15;Boyacá;15693;Santa Rosa de Viterbo;;13,249;6,986;6,263
2005;15;Boyacá;15696;Santa Sofía;;3,121;778;2,343
2005;15;Boyacá;15720;Sativanorte;;2,775;590;2,185
2005;15;Boyacá;15723;Sativasur;;1,351;310;1,041
2005;15;Boyacá;15740;Siachoque;;8,894;1,405;7,489
2005;15;Boyacá;15753;Soatá;;9,313;5,752;3,561
2005;15;Boyacá;15755;Socotá;;10,295;1,125;9,170
2005;15;Boyacá;15757;Socha;;7,593;3,605;3,988
2005;15;Boyacá;15759;Sogamoso;;117,094;96,828;20,266
2005;15;Boyacá;15761;Somondoco;;4,359;761;3,598
2005;15;Boyacá;15762;Sora;;2,976;469;2,507
2005;15;Boyacá;15763;Sotaquirá;;8,966;721;8,245
2005;15;Boyacá;15764;Soracá;;5,945;730;5,215
2005;15;Boyacá;15774;Susacón;;3,698;943;2,755
2005;15;Boyacá;15776;Sutamarchán;;6,120;1,254;4,866
2005;15;Boyacá;15778;Sutatenza;;4,566;743;3,823
2005;15;Boyacá;15790;Tasco;;6,925;1,842;5,083
2005;15;Boyacá;15798;Tenza;;4,651;1,206;3,445
2005;15;Boyacá;15804;Tibaná;;9,711;1,546;8,165
2005;15;Boyacá;15806;Tibasosa;;12,626;4,184;8,442
2005;15;Boyacá;15808;Tinjacá;;2,939;412;2,527
2005;15;Boyacá;15810;Tipacoque;;3,855;953;2,902
2005;15;Boyacá;15814;Toca;;10,561;3,422;7,139
2005;15;Boyacá;15816;Togüí;;5,229;715;4,514
2005;15;Boyacá;15820;Tópaga;;3,683;1,255;2,428
2005;15;Boyacá;15822;Tota;;5,676;592;5,084
2005;15;Boyacá;15832;Tununguá;;1,620;288;1,332
2005;15;Boyacá;15835;Turmequé;;7,582;2,434;5,148
2005;15;Boyacá;15837;Tuta;;8,984;2,176;6,808
2005;15;Boyacá;15839;Tutazá;;2,254;196;2,058
2005;15;Boyacá;15842;Umbita;;10,105;1,565;8,540
2005;15;Boyacá;15861;Ventaquemada;;14,404;1,964;12,440
2005;15;Boyacá;15879;Viracachá;;3,477;381;3,096
2005;15;Boyacá;15897;Zetaquira;;5,171;1,022;4,149
2005;17;Caldas;17001;Manizales;;379,972;353,312;26,660
2005;17;Caldas;17013;Aguadas;;24,308;10,267;14,041
2005;17;Caldas;17042;Anserma;;35,097;20,334;14,763
2005;17;Caldas;17050;Aranzazu;;12,815;6,867;5,948
2005;17;Caldas;17088;Belalcázar;;11,872;5,027;6,845
2005;17;Caldas;17174;Chinchiná;;53,496;45,113;8,383
2005;17;Caldas;17272;Filadelfia;;12,737;4,159;8,578
2005;17;Caldas;17380;La Dorada;;72,925;65,501;7,424
2005;17;Caldas;17388;La Merced;;6,752;2,190;4,562
2005;17;Caldas;17433;Manzanares;;25,104;9,864;15,240
2005;17;Caldas;17442;Marmato;;8,455;1,146;7,309
2005;17;Caldas;17444;Marquetalia;;14,798;5,806;8,992
2005;17;Caldas;17446;Marulanda;;3,489;1,148;2,341
2005;17;Caldas;17486;Neira;;28,140;13,967;14,173
2005;17;Caldas;17495;Norcasia;;6,903;4,141;2,762
2005;17;Caldas;17513;Pácora;;15,196;6,482;8,714
2005;17;Caldas;17524;Palestina;;18,037;5,819;12,218
2005;17;Caldas;17541;Pensilvania;;26,426;8,026;18,400
2005;17;Caldas;17614;Riosucio;;54,537;16,465;38,072
2005;17;Caldas;17616;Risaralda;;10,679;4,151;6,528
2005;17;Caldas;17653;Salamina;;20,288;11,690;8,598
