pais_iso3;classification;category;id_mall;name;lat;lng;rating;address;id_comuna;id_region;desc1;desc2;desc3;symbol;color;size
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 23 Villa El Parque;-29.885528;-71.228167;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Villa Lambert;-29.886843;-71.22506;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Nueva Esperanza;-29.888906;-71.217424;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Punta De Teatinos;-29.920968;-71.247778;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Villa El Valle;-29.888846;-71.219645;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Villa Los Llanos 5-R;-29.869535;-71.236353;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Villa Juan Soldado                                        ;-29.865767;-71.240172;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos Villa Las Palmeras;-29.950357;-71.265858;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 5-R El Cacique;-29.876399;-71.250538;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 11 Conjunto Armonico Pampa Baja;-29.918299;-71.252479;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos 5-R Villa Los Ciruelos;-29.944874;-71.263741;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 17 Nueva Pinamar;-29.885603;-71.249013;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 23 Villas  Unidas;-29.892511;-71.255502;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 8 Antartica;-29.913102;-71.245959;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N? 32 El Nuevo Milagro;-29.947293;-71.247342;;;4101;;;;;54;yellow;8
CHL;Junta de vecinos;JUNTA DE VECINOS;;Junta De Vecinos N?25 Luna Nueva Las Cias;-29.938978;-71.242896;;;4101;;;;;54;yellow;8
CHL;Organizacion;MUNICIPALIDAD;;Organizaci?n No Gubernamental Espacio Patrimonio: Estudios Avanzados En Patrimonio Cultural;-33.449555;-70.606389;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Fundacion Educacional Integrame;-33.470938;-70.597085;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Asociacion Chilena Pro Naciones Unidas;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Corporacion Municipal De Deportes De ?u?oa;-33.464894;-70.588161;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Iglesia Evangelica Bautista De ?u?oa;-33.444981;-70.599154;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Asociacion Pro Cementerio De Los Rusos Ortodoxos Residentes;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Corporacion Iglesia Pentecostal Filadelfia Primera De Chile;-33.455567;-70.616024;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Fundacion Centro Alameda Chile Quiere Leer;-33.457826;-70.616354;;;13120;;;;;5;purple;8
CHL;Organizacion;MINISTERIO DE JUSTICIA;;Organizacion No Gubernamental De Desarrollo Fraternidad Internacional De Jovenes Iyf U Ong Iyf;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Club De Amigos Evas;-33.470318;-70.583145;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Ean;-33.457826;-70.616354;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Asociacion Chilena Paleontologia O Achp;-33.454274;-70.617112;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Circulo De Oficiales Carabineros De Chile 1963 - 1964, O Ciroflescar 1963-1964;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Comunitario Y Sustentable Villa Olimpica;-33.459181;-70.619732;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Fundacion Memoriarte;-33.438494;-70.583613;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Unidad Vecinal Villa Rebeca Matte N?34;-33.469625;-70.615394;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Irarrazaval Unidad Vecinal N?8;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Asociacion Chilena De Paleontologia;-33.466865;-70.599103;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Chile Proyecto;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Rebeca Matte;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Contramaestre Micalvi;-33.458125;-70.579055;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Viejos Cracks Villa Los Alerces;-33.471437;-70.591914;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Consistorial;-33.453865;-70.594853;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Tobalaba;-33.439208;-70.582208;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Y Cultural Defensor Lo Encalada;-33.466543;-70.617062;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Villa Los Presidentes;-33.467903;-70.592215;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Javiera Carrera;-33.447385;-70.622407;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres Copihual;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Amapolas;-33.441187;-70.580375;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres Educaci?n Familiar;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres Las Orqui?Deas;-33.462746;-70.618522;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres San Agust?N;-33.458125;-70.579055;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos 38 Parque San Eugenio Norte;-33.466422;-70.620859;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Villa Alemana;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor El Sol Sale Para Todos;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos 21 De Mayo;-33.465301;-70.603939;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Guillermo Mann;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Junta De Vecinos Parque Gorostiaga;-33.450625;-70.578527;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor La Esperanza;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor N??nstor Meza Villalobos;-33.441187;-70.580375;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Padre Ambrosio;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Exequiel Gonz?Lez Cort??ns;-33.470529;-70.585226;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Santa Teresita De Los Andes;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Agrupaci?n De Familiares De Discapacitados;-33.466931;-70.588377;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Alegr?A De Vivir;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Villa Lo Plaza;-33.469265;-70.587339;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Segunda Juventud;-33.471437;-70.591914;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Liceo Comercial ?u?oa;-33.457216;-70.599681;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Acci?n De La Mujer Amistad Y Armon?A;-33.461717;-70.623458;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Juventud Yugoslavia;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club De Hockey Y Patinaje Manuel De Salas;-33.454496;-70.591186;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres Esperanza;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Chile Lindo;-33.461792;-70.611663;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Llamas Del Sur;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club De Atletismo Masters Universitarios Azules;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Colegio Costa Rica;-33.455343;-70.594166;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Accion De La Mujer Las Laboriosas;-33.439208;-70.582208;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Hellen Keller;-33.443624;-70.574523;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres Plaza Za?artu;-33.473613;-70.604467;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Cultural Literario Atenea;-33.464894;-70.588161;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Kenpo ?u?oa;-33.469194;-70.619381;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Refugio De Primavera;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Acci?n De La Mujer Las Cotorritas;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Jardi?N Infantil Areas Verdes;-33.470932;-70.618845;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Atletico Defensor;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Agrupaci?n De Familiares Y Amigos De Discapacitados Psiquicos Solidaridad;-32.1333;-71.5333;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Colegio Guardiamarina Guillermo Za?artu Irigoyen;-33.463324;-70.618542;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Villa Canad?a;-33.461717;-70.623458;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Paz Y Amistad;-33.471437;-70.591914;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Grupo De Desarrollo Local Plaza ?u?oa;-33.461732;-70.594186;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Acci?n De La Mujer Manos Laboriosas;-33.467903;-70.592215;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Cent. Padres Y Apoderados Escuela Aurora De Chile;-33.443914;-70.601251;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Escuela Dr. Exequiel Gonz?Lez Cort??ns;-33.443914;-70.601251;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Villa Rebeca Matte;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Comit??n De La Vivienda Don Alfonso;-33.467813;-70.617239;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Acci?n De La Mujer San Francisco Javier;-33.469812;-70.578726;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Social Cultural Su?Rez Mujica;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Deportivo Real Lo Plaza;-33.464894;-70.588161;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Bella Esperanza;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Comit??n De Vivienda Buena Amistad;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Gastron?mico Y Tur?stico Plaza ?u?oa;-33.458278;-70.593746;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Los Dorados De Tobalaba;-33.439208;-70.582208;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Voces De ?u?oa;-33.461792;-70.611663;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Vida Oto?al;-33.461792;-70.611663;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Cultura Deportiva;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Comit??n De Vivienda Las Amapolas;-33.439208;-70.582208;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Voluntariado Las Margaritas;-33.451267;-70.586759;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Del Colegio Notre Dame;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Comit??n De Vivienda Nueva Pucar?;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Comit??n De Vivienda Ana Mar?A Hern?Ndez;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Acci?n De La Mujer Mar?A Celeste;-33.469812;-70.578726;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Susana Valenzuela;-33.464894;-70.588161;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Agrupaci?n De Familiares De Adictos De ?u?oa;-33.465914;-70.587728;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Los Block Villa Alemana;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Vida Nueva;-33.469341;-70.585379;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Hapkido;-33.467991;-70.577138;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Ecoclub ?u?oa;-33.451802;-70.627181;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Colegio San Juan Bautista;-33.464471;-70.598238;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Cultural Los Aliaga;-33.460482;-70.576814;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Betania;-33.457224;-70.616409;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Arco De Triunfo;-33.471437;-70.591914;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Las Chicas Del Barrio;-33.458902;-70.622941;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Fotogr?Fico El Enfoque De ?u?oa;-33.461792;-70.611663;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Viridiana;-33.447225;-70.591343;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Mapuche Newentun;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo De Tenis De ?u?oa;-33.441183;-70.580363;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderadosliceo Lenka Franulic;-33.443624;-70.574523;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club De Discapacitados Creciendo Juntos;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Padres Y Apoderados Colegio Psicopedag?gico Juan Wesley;-33.431184;-70.600383;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Renovarte;-33.448922;-70.603865;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Juvenil, Deportivo Y Cultural Agora;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Despertar A La Vida;-33.467903;-70.592215;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Juvenil J?venes De La Nueva Era;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Tur?Stica Y Recreacional Para Adultos Mayores Chile Te Invita;-33.445436;-70.577115;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Miniman?A Chile;-33.444763;-70.600357;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Amigos En Comunidad;-33.464824;-70.583077;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;C. U. De Chile Patinaje Art?Stico ?u?oa;-33.470534;-70.595169;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Madres San Carlos;-33.456668;-70.597842;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo De Huasos Y Rodeo De ?u?oa;-33.465961;-70.607349;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Antoja;-33.452083;-70.608026;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Coro De ?u?oa;-33.455122;-70.572518;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Grupo Folcl?rico Folchi;-33.458268;-70.603267;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Hurac?N;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Arrieta Guindos;-33.458125;-70.579055;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Folcl?rico Los Trilladores De Chile;-33.454581;-70.604952;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Jaque Al Domin?;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Agrupaci?n Amigos Ex Defensor 72;-33.470108;-70.553908;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro De Integraci?n Y Desarrollo - Cid ?u?oa;-33.451148;-70.591493;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club De Monta?ismo ?u?oa;-33.465579;-70.575885;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Taller Laboral Caminando Hacia La Vida Adulta Para Personas Con D.I.;-33.449207;-70.620645;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Social Cultural Rebeca Matte;-33.469396;-70.615783;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo, Social, Recreativo Y Cultural Santos Cumorah;-33.461299;-70.578187;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Familiares Y Amigos Discapacitados Ps?Quicos Alma Mater;-33.445258;-70.581121;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Grupo Social Y Folkl?rico Mapu??n;-33.464278;-70.604436;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Deportivo Social Y Cultural San Bruno;-33.457224;-70.616409;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Desierto Florido;-33.465063;-70.585426;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Club Adulto Mayor Amor Y Alegr?A;-33.471437;-70.591914;;;13120;;;;;5;purple;8
CHL;Organizacion;MUNICIPALIDAD;;Centro Cultural Villa San Bernardo;-33.460989;-70.623279;;;13120;;;;;5;purple;8
